"ONU external ID","PON Type",SN,"Onu Type",Name,OLT,Board,Port,"Allocated ONU",Zone,Address,Latitude,Longitude,"ODB (Splitter)","ODB Port",Mode,"WAN mode","IP address","Subnet mask","Default gateway",DNS1,DNS2,Username,Password,CATV,"Administrative status","Auth date",Status,Signal,"Signal 1310","Signal 1490",Distance(m),"Service port","Service port VLAN","Service port CVLAN","Service port SVLAN","Service port tag transform mode","Service port upload speed","Service port download speed",Contact,"TR069 Profile","TR069 Device ID","Last status change"
HWTC231A3F9B,gpon,HWTC231A3F9B,HG8010H,btirado,"Villa Dolores 2",1,11,10,"Zone 1",,46.5386,24.5514,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-15 11:00:06",Online,"Very good",-23.1,-20.36,2544,699,140,,,translate,300Mbps,300Mbps,,,,"2026-03-14 23:47:16"
HWTC231A1F9B,gpon,HWTC231A1F9B,HG8010H,cparedes,"Villa Dolores 2",1,11,13,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-16 17:24:24",Online,"Very good",-23.19,-20.45,2622,702,140,,,translate,300Mbps,300Mbps,,,,"2026-03-18 10:41:02"
HWTC23423F9B,gpon,HWTC23423F9B,HG8010H,nadvquiroga,"Villa Dolores 2",1,11,19,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-23 10:47:07",Online,"Very good",-25.23,-22.14,3339,821,140,,,translate,300Mbps,300Mbps,,,,"2026-04-16 09:35:57"
HWTC22CE4F9B,gpon,HWTC22CE4F9B,EG8141A5,malbornoz2,"Villa Dolores 2",1,11,20,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-07 17:28:49",Online,"Very good",-24.32,-22.44,2775,396,140,,,translate,300Mbps,300Mbps,,,,"2026-04-16 07:50:55"
HWTC230B5F9B,gpon,HWTC230B5F9B,EG8141A5,cfigueroa,"Villa Dolores 2",1,11,21,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-04 11:06:46",Online,"Very good",-22.15,-20.17,2511,703,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC0A696E8F,gpon,HWTC0A696E8F,HG8240H,mquevedo5,"Villa Dolores 2",1,11,39,Zone,,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2024-11-08 17:19:31",Online,"Very good",-25.23,-23.46,3967,708,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
TPLGB5E000F3,gpon,TPLGB5E000F3,TX-6610,mamonges,"Villa Dolores 2",1,11,42,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2024-11-20 10:46:37",Online,"Very good",-22.76,-20.5,2652,2449,120,,,translate,300Mbps,300Mbps,,,,"2026-03-21 16:22:48"
HWTC74601E67,gpon,HWTC74601E67,HG8240H,mreynoso3,"Villa Dolores 2",1,12,0,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-30 09:05:07",Online,"Very good",-25.86,-25.68,3819,709,140,,,translate,300Mbps,300Mbps,,,,"2026-04-13 19:03:02"
HWTC9AEC9340,gpon,HWTC9AEC9340,HG8240H,soviedo,"Villa Dolores 2",1,12,2,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-30 15:52:47",Online,"Very good",-24.09,-20.75,2885,710,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC6552CD81,gpon,HWTC6552CD81,HG8240H,amereles,"Villa Dolores 2",1,12,4,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-31 09:15:33",Online,"Very good",-25.53,-24.31,3656,711,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTCACA54E45,gpon,HWTCACA54E45,HG8240H,paguzman,"Villa Dolores 2",1,12,5,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-31 11:40:05",Online,Critical,-33.98,-28.24,3435,712,140,,,translate,300Mbps,300Mbps,,,,"2026-03-17 11:21:36"
HWTC3A210A5F,gpon,HWTC3A210A5F,HG8240H,sperez3,"Villa Dolores 2",1,12,6,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-31 10:32:24",Online,"Very good",-26.58,-23.28,2908,713,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC749B253D,gpon,HWTC749B253D,HG8240H,seguzman,"Villa Dolores 2",1,12,8,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-31 16:26:43",Online,"Very good",-23.77,-20.7,3297,715,140,,,translate,300Mbps,300Mbps,,,,"2026-04-04 05:57:49"
HWTC7C03DE45,gpon,HWTC7C03DE45,HG8240H,mabustos,"Villa Dolores 2",1,12,9,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-01 09:11:12",Online,"Very good",-23.19,-19.79,3423,716,140,,,translate,300Mbps,300Mbps,,,,"2026-03-17 16:46:49"
HWTC23037F9B,gpon,HWTC23037F9B,HG8010H,fgalindo,"Villa Dolores 2",1,12,10,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-08 09:10:08",Online,"Very good",-24.21,-15.06,3910,717,140,,,translate,300Mbps,300Mbps,,,,"2026-04-06 20:52:44"
HWTC23064F9B,gpon,HWTC23064F9B,IC425ETB,nrescudero,"Villa Dolores 2",1,12,11,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2026-02-16 20:01:49",Online,"Very good",-27.7,-24.2,3299,718,140,,,translate,1G,1G,,,,"2026-04-15 18:26:22"
HWTC3EF5BB85,gpon,HWTC3EF5BB85,HG8240H,gvpereyra,"Villa Dolores 2",1,12,12,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-01 11:44:58",Online,"Very good",-23.19,-19.87,3011,365,140,,,translate,300Mbps,300Mbps,,,,"2026-04-14 19:37:11"
HWTCD6C8D347,gpon,HWTCD6C8D347,HG8240H,mortiz5,"Villa Dolores 2",1,12,13,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-01 15:58:01",Online,"Very good",-27.96,-23.18,3076,556,140,,,translate,300Mbps,300Mbps,,,,"2026-03-14 08:46:34"
HWTC5DDE3092,gpon,HWTC5DDE3092,HG8240H,nebelbruno,"Villa Dolores 2",1,13,0,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-22 10:04:25",Online,"Very good",-21.08,-20.75,4652,520,140,,,translate,300Mbps,300Mbps,,,,"2026-03-25 11:29:33"
HWTC05174E9A,gpon,HWTC05174E9A,HG8240H,mdcmurua,"Villa Dolores 2",1,13,1,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-22 11:15:42",Online,"Very good",-27.7,-29.21,4316,729,140,,,translate,300Mbps,300Mbps,,,,"2026-03-19 12:39:30"
HWTC394F613F,gpon,HWTC394F613F,HG8240H,mcsoria,"Villa Dolores 2",1,13,2,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-24 15:13:58",Online,"Very good",-22.15,-20.91,3741,730,140,,,translate,300Mbps,300Mbps,,,,"2026-03-31 20:28:25"
HWTC09DB709B,gpon,HWTC09DB709B,HG8240H,bromero7,"Villa Dolores 2",1,13,4,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-29 09:15:42",Online,"Very good",-26.03,-23.66,4067,560,140,,,translate,300Mbps,300Mbps,,,,"2026-04-11 15:15:56"
HWTC7C611A45,gpon,HWTC7C611A45,HG8240H,cporras,"Villa Dolores 2",1,13,5,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-29 10:19:28",Online,"Very good",-23.38,-20.5,3825,683,140,,,translate,300Mbps,300Mbps,,,,"2026-04-12 20:46:12"
HWTCE64B7B6D,gpon,HWTCE64B7B6D,HG8240H,cbustos2,"Villa Dolores 2",1,13,6,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-29 11:09:41",Online,"Very good",-21.49,-20.36,4546,123,140,,,translate,300Mbps,300Mbps,,,,"2026-04-15 13:08:28"
HWTC21B2657D,gpon,HWTC21B2657D,HG8240H,emaltamirano,"Villa Dolores 2",1,13,8,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-29 17:33:36",Online,"Very good",-22.3,-20.86,4234,733,140,,,translate,300Mbps,300Mbps,,,,"2026-04-16 12:39:40"
HWTC06246C89,gpon,HWTC06246C89,HG8240H,bcufre,"Villa Dolores 2",1,13,10,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-05-29 18:30:08",Online,"Very good",-26.78,-26.19,4422,734,140,,,translate,300Mbps,300Mbps,,,,"2026-04-11 15:15:56"
